order_id,order_date,category,region,channel,customer_segment,payment_method,customer_id,unit_price,quantity,discount_pct_of_price,revenue,satisfaction_score,delivery_days
ORD-102258,2024-01-01,Electronics,North,Online,Returning,Gift Card,CUST-3473,1030.09,1,3.0,999.19,3.6,5.0
ORD-102441,2024-01-01,Electronics,North,Mobile App,Returning,PayPal,CUST-2750,289.85,1,5.2,274.78,4.3,6.0
ORD-101487,2024-01-01,Home & Garden,Central,Mobile App,New,PayPal,CUST-2133,62.45,1,5.9,58.77,3.0,3.0
ORD-103673,2024-01-01,Home & Garden,Central,Online,VIP,Credit Card,CUST-1915,137.01,1,11.1,121.8,3.2,4.0
ORD-102315,2024-01-01,Electronics,North,Online,New,Debit Card,CUST-3343,1003.74,1,4.9,954.56,3.2,2.0
ORD-101948,2024-01-02,Home & Garden,South,In-Store,VIP,Credit Card,CUST-2891,269.34,2,12.4,472.11,4.3,0.0
ORD-101408,2024-01-02,Home & Garden,South,Online,New,Gift Card,CUST-2485,129.49,2,0.0,259.1,,7.0
ORD-101995,2024-01-02,Apparel,North,In-Store,Returning,Debit Card,CUST-1157,53.95,2,5.9,101.58,4.5,1.0
ORD-104690,2024-01-02,Home & Garden,East,In-Store,Returning,Debit Card,CUST-1239,446.86,4,11.9,1575.49,3.7,0.0
ORD-101481,2024-01-02,Home & Garden,East,Online,Returning,Gift Card,CUST-1295,386.55,1,1.5,380.93,3.8,4.0
ORD-101738,2024-01-03,Home & Garden,West,In-Store,Returning,Credit Card,CUST-2417,203.31,2,5.3,385.44,4.7,0.0
ORD-104626,2024-01-03,Apparel,South,Online,New,PayPal,CUST-1457,133.74,1,9.1,121.69,,7.0
ORD-101912,2024-01-03,Sports,South,Online,Returning,Gift Card,CUST-3276,233.54,3,5.5,662.72,,5.0
ORD-101621,2024-01-03,Beauty,Central,Online,New,Credit Card,CUST-1023,141.32,1,1.9,138.77,4.8,6.0
